Location,Bait,Start,End,Transition,Weather,"Predator, Amount",Tug,Hookset,Gathering,Snagging?,Fish Eyes?,ID
Blue Octopus,Merlthor Goby,,,,,,Medium,Powerful,,,,45
Blowfish,Northern Krill,,,,,,Medium,Powerful,,,,49
Bianaq Bream,Heavy Steel Jig,,,,,,Medium,Powerful,,,,65
Indigo Herring,Spoon Worm,,,,,,Medium,Powerful,,,,75
Ash Tuna,Spoon Worm,,,,,,Medium,Powerful,,,,77
Fullmoon Sardine,Spoon Worm,18,6,,,,Light,,,,,83
Nautilus,Fullmoon Sardine,,,,,,Medium,Powerful,,,,124
Twitchbeard,Fullmoon Sardine,4,6,,"Clear Skies, Fair Skies",,Heavy,Powerful,,,,253
Jadeite Flood,,,,,,,,,,,,20101
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Raincaller,Stem Borer,,,,"Rain, Snow",,Medium,Powerful,,,,117
Stormdancer,Stem Borer,17,2,,"Rain, Snow",,Heavy,Powerful,,,,236
Lower Black Tea Brook,,,,,,,,,,,,20102
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Bloody Brewer,Crayfish Ball,,,,,,Heavy,Powerful,,,,219
Whispering Gorge,,,,,,,,,,,,20201
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Raincaller,Stem Borer,,,,"Rain, Snow",,Medium,Powerful,,,,117
Matron Carp,Bloodworm,15,21,,,,Heavy,Powerful,,,,231
Upper Black Tea Brook,,,,,,,,,,,,20202
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Carp Diem,Crow Fly,9,14,,"Clouds, Fog",,Heavy,Precision,,,,224
The Vein,,,,,,,,,,,,20301
Copperfish,Butterworm,,,,,,Light,,,,,41
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Chirurgeon,Striped Goby,,,,,,Heavy,,,,,228
The Mirror,,,,,,,,,,,,20302
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Tri-colored Carp,Butterworm,,,,,,Medium,Powerful,,,,46
Ghost Carp,Butterworm,21,3,,Rain,,Heavy,Powerful,,,,223
Everschade,,,,,,,,,,,,20303
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Monke Onke,Ala Mhigan Fighting Fish,,,,,,Light,,,,,86
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Spotted Pleco,Syrphid Basket,,,,,,Medium,Powerful,,,,73
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Levinlight,Syrphid Basket,18,23,,,,Heavy,Precision,,,,256
Hopeseed Pond,,,,,,,,,,,,20304
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Black Ghost,Ala Mhigan Fighting Fish,,,,,,,Powerful,,,,66
Mudskipper,Midge Basket,,,,,,,,,,,27
Clown Loach,Honey Worm,,,,,,Light,,,,,91
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
The Green Jester,Honey Worm,18,21,,,,,Powerful,,,,270
Haukke Manor,,,,,,,,,,,,20305
Mudskipper,Midge Basket,,,,,,,,,,,27
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Monke Onke,Ala Mhigan Fighting Fish,,,,,,Light,,,,,86
Silverfish,Honey Worm,,,,,,Light,,,,,90
Bloodbath,Silverfish,,,,Thunder,,,Powerful,,,,271
Sweetbloom Pier,,,,,,,,,,,,20401
Copperfish,Butterworm,,,,,,Light,,,,,41
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
River Crab,Butterworm,,,,,,Light,,,,,29
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Dark Ambusher,Striped Goby,21,3,,,,,,,,,217
Springripple Brook,,,,,,,,,,,,20403
Copperfish,Butterworm,,,,,,Light,,,,,41
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Rainbow Trout,Snurble Fly,,,,,,Medium,Powerful,,,,28
River Crab,Butterworm,,,,,,Light,,,,,29
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Bluebell Salmon,Floating Minnow,,,,,,,Powerful,,,,42
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Moldva,Ala Mhigan Fighting Fish,18,2,,,,,Powerful,,,,206
Sanctum of the Twelve,,,,,,,,,,,,20405
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
River Crab,Butterworm,,,,,,Light,,,,,29
Acorn Snail,Midge Basket,,,,,,Light,,,,,34
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Tri-colored Carp,Butterworm,,,,,,Medium,Powerful,,,,46
Pond Mussel,Butterworm,,,,,,Light,,,,,50
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
The Assassin,Butterworm,21,23,,,,,Powerful,,,,243
Verdant Drop,,,,,,,,,,,,20402
Rainbow Trout,Crow Fly,,,,,,Medium,Powerful,,,,28
River Crab,Butterworm,,,,,,Light,,,,,29
Copperfish,Butterworm,,,,,,Light,,,,,41
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Climbing Perch,Bass Ball,,,,,,,,,,,63
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Spotted Pleco,Syrphid Basket,,,,,,Medium,Powerful,,,,73
Fall Jumper,Copperfish,,,,,,Medium,Powerful,,,,114
Sylphsbane,Copperfish,,,,Rain,,,Powerful,,,,248
Sylphlands,,,,,,,,,,,,20404
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
Oakroot,Streamer,17,10,,,,,Powerful,,,,118
Common Sculpin,Spinnerbait,,,,,,Light,,,,,119
Southern Pike,Topwater Frog,,,,,,,Powerful,,,,121
Mushroom Crab,Common Sculpin,,,,"Clouds, Fog",,,,,,,173
Magicked Mushroom,Common Sculpin,,,"Rain, Thunder","Clouds, Fog",,,Powerful,,,,309
Upper Hathoeva River,,,,,,,,,,,,20501
Copperfish,Butterworm,,,,,,Light,,,,,41
Rainbow Trout,Bloodworm,,,,,,Medium,,,,,28
River Crab,Butterworm,,,,,,Light,,,,,29
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
Vip Viper,Butterworm,18,19,,,,,Powerful,,,,244
Lower Hathoeva River,,,,,,,,,,,,20503
Copperfish,Butterworm,,,,,,Light,,,,,41
Rainbow Trout,Bloodworm,,,,,,Medium,Powerful,,,,28
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Climbing Perch,Bass Ball,,,,,,,,,,,63
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
Floating Boulder,Bass Ball,0,8,,"Clouds, Fog",,,Powerful,,,,249
East Hathoeva River,,,,,,,,,,,,20504
Rainbow Trout,Bloodworm,,,,,,Medium,Powerful,,,,28
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Copperfish,Butterworm,,,,,,Light,,,,,41
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
The Grinner,Syrphid Basket,,,,,,,Powerful,,,,250
Middle Hathoeva River,,,,,,,,,,,,20502
Rainbow Trout,Bloodworm,,,,,,Medium,Powerful,,,,28
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Five-ilm Pleco,Floating Minnow,,,,,,,,,,,60
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
Armored Pleco,Freshwater Boilie,,,,,,,Powerful,,,,94
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
The Sinker,Sinking Minnow,21,3,,"Clear Skies, Fair Skies",,,Powerful,,,,257
Goblinblood,,,,,,,,,,,,20505
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Five-ilm Pleco,Bass Ball,,,,,,,,,,,60
Black Ghost,Ala Mhigan Fighting Fish,,,,,,,Powerful,,,,66
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Silverfish,Honey Worm,,,,,,Light,,,,,90
Goblin Perch,Silverfish,,,,,,,Powerful,,,,127
The Gobfather,Silverfish,,,,"Thunder, Thunderstorms",,,Powerful,,,,258
Rootslake,,,,,,,,,,,,20506
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Climbing Perch,Bass Ball,,,,,,,,,,,63
Root Skipper,Syrphid Basket,,,,,,,Precision,,,,80
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Armored Pleco,Honey Worm,,,,,,,Powerful,,,,94
Judgment Staff,Caddisfly Larva,,,,"Thunder, Thunderstorms",,,Powerful,,,,174
Son of Levin,Caddisfly Larva,,,,Thunderstorms,,,Powerful,,,,272
Urth's Gift,,,,,,,,,,,,20507
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Monke Onke,Ala Mhigan Fighting Fish,,,,,,Light,,,,,86
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Velodyna Carp,Streamer,,,,,,,Powerful,,,,98
Southern Pike,Topwater Frog,,,,,,,Powerful,,,,121
Boxing Pleco,Glowworm,,,,,,,,,,,141
Takitaro,Streamer,,,,,,,Powerful,,,,181
Giant Takitaro,Glowworm,,,,"Thunder, Thunderstorms",,,Powerful,,,,310
Namitaro,Topwater Frog,,,,,"Giant Takitaro, 1",,Powerful,,,,311
Murmur Rills,,,,,,,,,,,,20601
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Rainbow Trout,Bloodworm,,,,,,Medium,Powerful,,,,28
River Crab,Butterworm,,,,,,Light,,,,,29
Bluebell Salmon,Floating Minnow,,,,,,,Powerful,,,,42
Tri-colored Carp,Butterworm,,,,,,Medium,Powerful,,,,46
Blue Widow,Floating Minnow,9,14,,,,,Powerful,,,,222
Fallgourd Float,,,,,,,,,,,,20602
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Rainbow Trout,Wildfowl Fly,,,,,,Medium,Powerful,,,,28
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Faerie Bass,Midge Basket,,,,,,Medium,,,,,33
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Shadow Catfish,Striped Goby,,,,,,,,,,,64
Judgeray,Wildfowl Fly,17,21,,,,Heavy,Powerful,,,,218
Proud Creek,,,,,,,,,,,,20603
Pond Mussel,Butterworm,,,,,,Light,,,,,50
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
Golden Loach,Honey Worm,,,,,,,Precision,,,,101
Loyal Pleco,Stem Borer,,,,,,Medium,Powerful,,,,112
Oakroot,Streamer,17,10,,,,,Powerful,,,,118
Southern Pike,Topwater Frog,,,,,,,Powerful,,,,121
Pirarucu,Streamer,,,,,,,,,,,182
Shadowstreak,Topwater Frog,4,10,,Fog,,,Powerful,,,,283
Lake Tahtotl,,,,,,,,,,,,20604
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Pond Mussel,Butterworm,,,,,,Light,,,,,50
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Silverfish,Honey Worm,,,,,,Light,,,,,90
Assassin Betta,Silverfish,,,,,,,,,,,130
Boxing Pleco,Glowworm,,,,,,,,,,,141
Goldfish,Silverfish,,,,,,Light,,,,,146
Bowfin,Goldfish,,,,,,,Powerful,,,,177
Cornelia,Rainbow Spoon Lure,,,,,"Boxing Pleco, 5",,Powerful,,,,296
The Lavender Beds,,,,,,,,,,,,20701
Pipira,Crayfish Ball,,,,,,Light,,,,,16
Dark Sleeper,Midge Basket,15,10,,,,Light,,,,,36
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Tri-colored Carp,Butterworm,,,,,,Medium,Powerful,,,,46
Shadow Catfish,Ala Mhigan Fighting Fish,,,,,,,,,,,64
Spotted Pleco,Syrphid Basket,,,,,,Medium,Powerful,,,,73
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Monke Onke,Ala Mhigan Fighting Fish,,,,,,Light,,,,,86
Sweetnewt,Ala Mhigan Fighting Fish,23,4,,Fog,,,Powerful,,,,259
Nophica's Wells,,,,,,,,,,,,30104
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Gudgeon,Crayfish Ball,,,,,,Light,,,,,19
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Copperfish,Butterworm,,,,,,Light,,,,,41
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Glimmerscale,Butterworm,,,,"Clear Skies, Fair Skies",,,,,,,237
The Footfalls,,,,,,,,,,,,30105
Crayfish,Moth Pupa,,,,,,Light,,,,,2
Mudskipper,Midge Basket,,,,,,,,,,,27
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Acorn Snail,Midge Basket,,,,,,Light,,,,,34
Copperfish,Butterworm,,,,,,Light,,,,,41
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Mud Golem,Butterworm,21,3,,,,,,,,,229
Vesper Bay,,,,,,,,,,,,30102
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Harbor Herring,Pill Bug,,,,,,Medium,Powerful,,,,15
Pebble Crab,Yumizuno,,,,,,Light,,,,,26
Tiger Cod,Rat Tail,,,,,,Medium,Powerful,,,,30
Rothlyt Oyster,Rat Tail,,,,,,Light,,,,,35
Blue Octopus,Merlthor Goby,,,,,,Medium,Powerful,,,,45
Rivet Oyster,Heavy Steel Jig,,,,,,,,,,,234
Crescent Cove,,,,,,,,,,,,30103
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Razor Clam,Rat Tail,,,,,,Light,,,,,43
Blowfish,Northern Krill,,,,,,Medium,Powerful,,,,49
Saber Sardine,Heavy Steel Jig,,,,,,,,,,,54
Monkfish,Heavy Steel Jig,,,,,,,Powerful,,,,61
Spotted Puffer,Honey Worm,,,,,,Light,,,,,99
Rock Lobster,Northern Krill,17,22,,,,Medium,Powerful,,,,149
Fingers,Northern Krill,17,18,,,,,Powerful,,,,242
The Silver Bazaar,,,,,,,,,,,,30101
Lominsan Anchovy,Lugworm,,,,,,Light,,,,,5
Pebble Crab,Yumizuno,,,,,,Light,,,,,26
Tiger Cod,Rat Tail,,,,,,Medium,Powerful,,,,30
Rothlyt Oyster,Rat Tail,,,,,,Light,,,,,35
Hammerhead Shark,Steel Jig,,,,,,,,,,,70
Indigo Herring,Spoon Worm,,,,,,Medium,Powerful,,,,75
Rock Lobster,Northern Krill,17,22,,,,Medium,Powerful,,,,149
Dirty Herry,Northern Krill,20,22,,,,,,,,,246
Cape Westwind,,,,,,,,,,,,30106
Merlthor Goby,Lugworm,,,,,,Light,,,,,4
Haraldr Haddock,Heavy Steel Jig,,,,,,,,,,,85
Whitelip Oyster,Herring Ball,,,,,,Light,,,,,88
Silver Shark,Merlthor Goby,,,,,,Medium,Powerful,,,,111
Wahoo,Merlthor Goby,,,,,,Medium,Powerful,,,,116
Blacklip Oyster,Krill Cage Feeder,,,,,,Light,,,,,120
Plaice,Yumizuno,,,,,,Medium,Powerful,,,,138
Sea Devil,Yumizuno,,,,,,Medium,Powerful,,,,143
Titanic Sawfish,Wahoo,9,15,,"Clear Skies, Fair Skies",,,Powerful,,,,180
Pirate's Bane,Wahoo,,,,,"Wahoo, 6",,Powerful,,,,300
Moondrip,,,,,,,,,,,,30108
Blindfish,Syrphid Basket,,,,,,Light,,,,,25
Grip Killifish,Chocobo Fly,,,,,,Light,,,,,78
Silverfish,Honey Worm,,,,,,Light,,,,,90
Assassin Betta,Silverfish,,,,,,,,,,,130
Garpike,Silverfish,,,,Fog,,,Powerful,,,,136
Ndendecki,Assassin Betta,18,5,,Fog,,,Powerful,,,,301
Parata's Peace,,,,,,,,,,,,30107
Grip Killifish,Chocobo Fly,,,,,,Light,,,,,78
Silverfish,Honey Worm,,,,,,Light,,,,,90
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Sludgeskipper,Stem Borer,,,,,,Light,Precision,,,,131
Boltfish,Silverfish,,,,,,,Powerful,,,,135
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Vampire Lampern,Silverfish,,,,,,Medium,Powerful,,,,150
Bat-o'-Nine-Tails,Silverfish,,,Rain,"Clear Skies, Clouds, Fog, Fair Skies",,,Powerful,,,,302
Upper Soot Creek,,,,,,,,,,,,30201
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Dream Goby,Crayfish Ball,17,3,,,,,Precision,,,,215
Lower Soot Creek,,,,,,,,,,,,30202
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Aegis Shrimp,Bass Ball,,,,,,,,,,,59
Slime King,Crayfish Ball,19,24,,,,,Precision,,,,221
The Clutch,,,,,,,,,,,,30204
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Old Softie,Bloodworm,17,21,,,,,,,,,226
The Unholy Heir,,,,,,,,,,,,30203
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Mudskipper,Midge Basket,,,,,,,,,,,27
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Acorn Snail,Midge Basket,,,,,,Light,,,,,34
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Aegis Shrimp,Bass Ball,,,,,,,,,,,59
Dark Knight,Crow Fly,,,,"Clouds, Dust Storms, Fog",,,Powerful,,,,212
North Drybone,,,,,,,,,,,,30301
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Mudskipper,Midge Basket,,,,,,,,,,,27
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Acorn Snail,Midge Basket,,,,,,Light,,,,,34
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Bone Cleaner,Syrphid Basket,,,,,,,,,,,79
Marrow Sucker,Syrphid Basket,20,3,,"Rain, Showers",,,,,,,227
South Drybone,,,,,,,,,,,,30302
Dusk Goby,Crayfish Ball,,,,,,Light,,,,,13
Mudskipper,Midge Basket,,,,,,,,,,,27
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Acorn Snail,Midge Basket,,,,,,Light,,,,,34
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Bone Cleaner,Syrphid Basket,,,,,,,,,,,79
Mud Pilgrim,Midge Basket,17,7,,"Rain, Showers",,,Powerful,,,,225
Yugr'am River,,,,,,,,,,,,30303
Warmwater Trout,Crow Fly,,,,,,Medium,Powerful,,,,51
Black Eel,Butterworm,17,10,,,,Medium,Powerful,,,,55
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Trader Eel,Honey Worm,,,,,,,Powerful,,,,103
The Warden's Wand,Honey Worm,17,20,,Clear Skies,,,Powerful,,,,254
The Burning Wall,,,,,,,,,,,,30304
Yugr'am Salmon,Bass Ball,,,,,,,,,,,71
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Discus,Honey Worm,,,,,,Medium,Powerful,,,,105
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Loyal Pleco,Stem Borer,,,,,,Medium,Powerful,,,,112
Knifefish,Glowworm,,,,,,Medium,Powerful,,,,115
Southern Pike,Topwater Frog,,,,,,,Powerful,,,,121
Gigantpole,Topwater Frog,,,,,,,,,,,186
Sundisc,Caddisfly Larva,10,15,,"Clear Skies, Fair Skies",,,Powerful,,,,158
The Thousand-year Itch,Stem Borer,,,,Fog,,,Powerful,,,,278
Burnt Lizard Creek,,,,,,,,,,,,30401
Copperfish,Butterworm,,,,,,Light,,,,,41
Warmwater Trout,Crow Fly,,,,,,Medium,Powerful,,,,51
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Lamprey,Copperfish,,,,,,Light,,,,,68
Plaguefish,Chocobo Fly,,,,,,,Precision,,,,69
Old Hollow Eyes,Copperfish,,,,Fog,,,Powerful,,,,247
Zahar'ak,,,,,,,,,,,,30402
Moat Carp,Crow Fly,,,,,,Light,,,,,39
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Plaguefish,Bass Ball,,,,,,,Precision,,,,69
Clown Loach,Honey Worm,,,,,,Light,,,,,91
Discus,Honey Worm,,,,,,Medium,Powerful,,,,105
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Paglth'an Discus,Glowworm,,,,"Clear Skies, Fair Skies, Heat Waves",,,,,,,140
Discobolus,Glowworm,12,18,,Heat Waves,,,Powerful,,,,264
Forgotten Springs,,,,,,,,,,,,30403
Copperfish,Butterworm,,,,,,Light,,,,,41
Warmwater Trout,Crow Fly,,,,,,Medium,Powerful,,,,51
Lamprey,Copperfish,,,,,,Light,,,,,68
Plaguefish,Chocobo Fly,,,,,,,Precision,,,,69
Ropefish,Silver Spoon Lure,,,,,,,Powerful,,,,76
Clown Loach,Honey Worm,,,,,,Light,,,,,91
Golden Loach,Honey Worm,,,,,,,Precision,,,,101
Iron Noose,Spinner,,,,Fog,,,Powerful,,,,265
Sagolii Desert,,,,,,,,,,,,30404
Sandfish,Freshwater Boilie,,,,,,,,,,,89
Sand Bream,Rolling Stone,,,,,,,,,,,92
Dustfish,Rolling Stone,,,,,,,,,,,100
Storm Rider,Sand Leech,,,,,,,,,,,102
Antlion Slug,Sand Gecko,,,,,,,,,,,106
Dune Manta,Storm Rider,,,,,,,,,,,110
Sagolii Monkfish,Sandfish,,,,,,,Powerful,,,,147
Magic Carpet,Storm Rider,9,16,,Heat Waves,,,Powerful,,,,267
Helicoprion,Storm Rider,8,20,"Fog, Clouds",Heat Waves,,,Powerful,,,,304
Sagolii Dunes,,,,,,,,,,,,30405
Sand Bream,Sand Leech,,,,,,,,,,,92
Desert Catfish,Sand Leech,,,,,,,Powerful,,,,96
Dustfish,Sand Leech,,,,,,,,,,,100
Storm Rider,Sand Leech,,,,,,,,,,,102
Antlion Slug,Sand Gecko,,,,,,,,,,,106
Dune Manta,Storm Rider,,,,,,,,,,,110
Caravan Eel,Storm Rider,,,,,,,Powerful,,,,164
Olgoi-Khorkhoi,Storm Rider,,,,Heat Waves,,,Powerful,,,,266
Bluefog,,,,,,,,,,,,30502
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Silverfish,Honey Worm,,,,,,Light,,,,,90
Giant Bass,Honey Worm,,,,,,Medium,,,,,95
Golden Loach,Honey Worm,,,,,,,Precision,,,,101
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Knifefish,Glowworm,,,,,,Medium,Powerful,,,,115
Common Sculpin,Spinnerbait,,,,,,Light,,,,,119
Garpike,Silverfish,,,,,,,Powerful,,,,136
Alligator Garfish,Common Sculpin,,,,,,,Powerful,,,,161
Hannibal,Common Sculpin,22,4,,Fog,,,Powerful,,,,279
Ceruleum Field,,,,,,,,,,,,30501
Grip Killifish,Chocobo Fly,,,,,,Light,,,,,78
Silverfish,Honey Worm,,,,,,Light,,,,,90
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Sludgeskipper,Stem Borer,,,,,,Light,Precision,,,,131
Boltfish,Silverfish,,,,,,,Powerful,,,,135
